provider,variable,n_provider (l pkt API),n (l dopasowań z ERA5),coverage_pct (% pokrycia ERA5),derived_n (ile wartości dorobiono z 10 m),derived_pct (% dorobionych wartości),bias_mean (błąd średni: pred − ERA5),mae (średni błąd bezwzględny),rmse (pierwiastek średniego błędu kwadratowego),corr (korelacja P),over_pct (% zawyżenia),under_pct (% zanizenia)
metno,precipitation,57,0,0.0,0,0.0,,,,,,
metno,temperature_2m,74,0,0.0,0,0.0,,,,,,
metno,wind_direction_100m,74,0,0.0,74,100.0,,,,,,
metno,wind_speed_100m,74,0,0.0,74,100.0,,,,,,
openmeteo,precipitation,168,0,0.0,0,0.0,,,,,,
openmeteo,temperature_2m,168,0,0.0,0,0.0,,,,,,
openmeteo,wind_direction_100m,168,0,0.0,0,0.0,,,,,,
openmeteo,wind_speed_100m,168,0,0.0,0,0.0,,,,,,
openweather,precipitation,40,0,0.0,0,0.0,,,,,,
openweather,temperature_2m,40,0,0.0,0,0.0,,,,,,
openweather,wind_direction_100m,40,0,0.0,40,100.0,,,,,,
openweather,wind_speed_100m,40,0,0.0,40,100.0,,,,,,
visualcrossing,precipitation,166,0,0.0,0,0.0,,,,,,
visualcrossing,temperature_2m,166,0,0.0,0,0.0,,,,,,
visualcrossing,wind_direction_100m,166,0,0.0,166,100.0,,,,,,
visualcrossing,wind_speed_100m,166,0,0.0,166,100.0,,,,,,
weatherapi,precipitation,168,0,0.0,0,0.0,,,,,,
weatherapi,temperature_2m,168,0,0.0,0,0.0,,,,,,
weatherapi,wind_direction_100m,168,0,0.0,168,100.0,,,,,,
weatherapi,wind_speed_100m,168,0,0.0,168,100.0,,,,,,
