provider,variable,runs,rmse_med,rmse_mean,rmse_std,bias_med,bias_mean,bias_std,mae_med,corr_med,over_med,under_med,cover_med,deriv_med,slope_rmse,slope_bias
metno,precipitation,28,0.1089362491688543,0.21895641403888483,0.17226241870652573,-0.030125,0.011286436934821611,0.08147832907184226,0.0307659574468085,-0.0672495401330536,0.0,10.416666666666668,100.0,0.0,,
metno,temperature_2m,49,7.748606113132046,8.43403072982054,2.862712839054317,3.9172500000000006,3.3805066108083106,5.731483818734291,6.872645833333333,-0.3646966637440074,66.31205673758865,33.687943262411345,100.0,0.0,,
metno,wind_direction_100m,49,102.31051921442256,102.96670598558362,34.081052167813674,-10.10409375,-7.638853656287841,59.87788890140721,89.70712500000002,0.16836433595413475,43.75,56.25,100.0,0.0,,
metno,wind_speed_100m,49,2.8799947821790806,2.8641816831611586,0.8667343093295876,-1.3056580108467664,-0.86173138997535,1.7188225218427458,2.414313947861973,-0.3237120324951125,37.5,62.5,100.0,0.0,,
openmeteo,precipitation,49,0.1077955240258147,0.21791291226599135,0.24988887675732546,-0.030125,0.031041666666666672,0.20458705381758185,0.030125,-0.0508843724685944,0.0,10.416666666666668,66.66666666666667,0.0,,
openmeteo,temperature_2m,49,8.121776172976272,8.576570374080061,2.6633113084741673,3.5263333333333335,3.536449016563147,5.712731786067718,7.028270833333334,-0.3737791216003771,65.625,34.375,66.66666666666667,0.0,,
openmeteo,wind_direction_100m,49,95.87375389200275,97.2246193415061,35.524201400018846,-20.073072916666668,-8.77415430900621,62.15915350280499,86.16992708333333,-0.07475663857337919,39.58333333333333,60.41666666666666,66.66666666666667,0.0,,
openmeteo,wind_speed_100m,49,13.034701652304214,15.08829931797428,8.38826901524107,10.633708333333335,13.339289725672877,8.585845147651208,10.718812499999999,-0.06710892167856145,97.91666666666666,2.083333333333333,66.66666666666667,0.0,,
openweather,precipitation,26,0.0948693286865403,0.2844899586261524,0.4793981920967821,-0.03125,0.033270833333333326,0.20253424443555743,0.03447916666666665,-0.1138585927759046,0.0,12.5,100.0,0.0,,
openweather,temperature_2m,28,8.032953729793295,8.716168980709927,2.83794970274721,5.907500000000001,4.4098630000000005,5.627361422883397,6.733124999999999,-0.2375021952657571,68.75,31.25,100.0,0.0,,
openweather,wind_direction_100m,28,88.42342742565457,94.07741035276091,34.8947268059026,-14.477550000000004,-21.373033999999997,51.11583122217519,72.573375,0.0027376672241139,37.5,62.5,100.0,0.0,,
openweather,wind_speed_100m,28,2.772701801706853,3.0114785847424663,1.1248869685524725,-0.3805005110783094,-0.03883261062222412,1.9957242516542804,2.246188545481848,-0.3576477183229511,37.5,62.5,100.0,0.0,,
visualcrossing,precipitation,70,0.1673562226604015,0.40118815223850257,0.7945867395006546,-0.030125,0.0644299528250372,0.39031225183057877,0.0697777777777777,-0.06506313711940309,0.0,10.416666666666668,100.0,0.0,,
visualcrossing,temperature_2m,70,7.9658480140744174,8.588996192063544,3.660599790018649,3.8623636363636376,3.934651150508303,6.6806395457250884,6.768916666666666,-0.1586808184090375,77.08333333333334,22.916666666666664,100.0,0.0,,
visualcrossing,wind_direction_100m,70,100.28920580113407,92.94886878429001,37.98055701984803,-14.173083333333333,-13.867560356870076,67.4108895304896,90.07022222222223,0.0102619715511483,35.41666666666667,64.58333333333334,100.0,0.0,,
visualcrossing,wind_speed_100m,70,2.80808392684515,2.872511103336076,1.1228056917200815,-0.2265908368844354,0.044916888599042554,2.1315874332036904,2.319400377161541,-0.3679588423495053,47.91666666666667,52.083333333333336,100.0,0.0,,
weatherapi,precipitation,28,0.1077955240258147,0.3258207523285453,0.5317485386932852,-0.030125,0.028718095238095244,0.18629595052267262,0.030125,-0.07057409432780334,0.0,10.416666666666668,100.0,0.0,,
weatherapi,temperature_2m,28,8.562819166800928,9.05181769749777,2.607417521091537,4.502375,3.646416428571429,5.692580062930861,7.297750000000001,-0.5509189041782367,66.66666666666666,33.33333333333333,100.0,0.0,,
weatherapi,wind_direction_100m,28,85.54077241256067,91.50396599860296,33.98408581602869,-15.31264583333333,-15.847994404761902,54.963443802226735,73.48843749999999,-0.1201591689335408,35.41666666666667,64.58333333333334,100.0,0.0,,
weatherapi,wind_speed_100m,28,2.978227233321036,3.1863737959879104,1.0217687529013852,-0.6381820582854548,-0.29443124793100384,2.0548001049556257,2.4496589278227248,-0.3193516882460905,39.58333333333333,60.41666666666666,100.0,0.0,,
