provider,variable,bias,MAE,RMSE,slope,intercept,R2,diurnal_amp,diurnal_peak_hour,pokrycie%,dorobione%
openmeteo,precipitation,0.22068262205769618,0.22098404460897048,1.1491854421864671,-15.423938213524007,0.2231578947368421,0.00040361486032625127,2.3,14,100.0,0.0
openmeteo,temperature_2m,0.6221043904622399,1.467246882120768,1.8770045313060315,0.6834767230302418,6.636633468960504,0.7924825278752061,3.328596496582031,22,100.0,0.0
openmeteo,wind_direction_100m,0.086306333541871,18.503236532211304,24.736022245769053,0.935038828192095,13.99457075958598,0.7940694469570002,45.69815063476564,7,100.0,0.0
openmeteo,wind_speed_100m,11.103536234796048,11.168729162712893,12.173227128563537,1.921410757572334,7.274301689800999,0.1674826989302396,12.748575985431673,2,100.0,0.0
visualcrossing,precipitation,0.001909911888710997,0.002217747685757088,0.020065141573262443,-0.1441789314644185,0.002086021505376343,0.00011562030292444625,0.052117070615291576,18,100.0,0.0
visualcrossing,temperature_2m,0.18041290932513326,0.7656405834441488,0.9980859635209759,1.0388895638801512,-0.5621465691645369,0.9412248571829449,1.2827606201171884,7,100.0,0.0
visualcrossing,wind_direction_100m,-8.979701671194523,27.926638095936877,41.10271134859893,0.9207027732665556,4.110423525987152,0.5997865876975286,59.418622970581055,0,100.0,0.0
visualcrossing,wind_speed_100m,-0.7241011527070912,1.4399986298316556,1.8072433044713059,0.412747828796476,1.6988252947823355,0.08668102872202699,4.29414171648427,4,100.0,0.0
weatherapi,precipitation,0.056862387745260444,0.0574992151099181,0.21079339323905275,1.4095611854469936,0.05465003520632798,0.16703223872362494,0.4166666666666667,21,94.64285714285714,0.0
weatherapi,temperature_2m,0.3336757060116945,1.4236667848982905,1.752865027170674,0.7943512470898128,4.145350201281093,0.8260664766309622,2.979819742838541,20,94.64285714285714,0.0
weatherapi,wind_direction_100m,-0.9630480592355781,15.993693177805007,22.599084702887165,0.7628323420743739,54.01528588250044,0.8001698298739534,38.38462066650392,19,94.64285714285714,0.0
weatherapi,wind_speed_100m,-0.024854728476458584,1.419365352290842,1.7638703907242357,0.3215024328177796,3.0787656144331526,0.07798558581709458,3.4118587509734892,22,94.64285714285714,0.0
